prix de la crypto : 31750.32, prix de la prédiction : 31711.125
prix crypto down : 0.020615, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 05:41:21
prix de la crypto : 30536.72, prix de la prédiction : 30472.246484375
prix crypto up : 16.685, prix de la prédiction : 16.7456968943278
prix crypto down : 0.020504, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 05:26:22
prix de la crypto : 30482.99, prix de la prédiction : 30410.650520833333
prix crypto up : 16.61, prix de la prédiction : 16.62429224650065
prix crypto down : 0.02062, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 05:11:22
prix de la crypto : 30534.56, prix de la prédiction : 30445.347526041667
prix crypto up : 16.681, prix de la prédiction : 16.719816207885742
prix crypto down : 0.020517, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 04:56:22
prix de la crypto : 30554.03, prix de la prédiction : 30458.144401041667
prix crypto up : 16.714, prix de la prédiction : 16.789655685424805
prix crypto down : 0.020494, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 04:41:23
prix de la crypto : 30554.42, prix de la prédiction : 30460.384895833333
prix crypto up : 16.717, prix de la prédiction : 16.693252563476562
prix crypto down : 0.020481, prix de la prédiction : 0.05036420424779256programme toujours en cour d'exécution le : vendredi 03 juin 2022 04:26:24
prix de la crypto : 30591.4, prix de la prédiction : 30535.7046875
prix crypto up : 16.77, prix de la prédiction : 16.788328043619792
prix crypto down : 0.020444, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 04:11:25
prix de la crypto : 30603.82, prix de la prédiction : 30530.567838541665
prix crypto up : 16.797, prix de la prédiction : 16.758604049682617
prix crypto down : 0.020405, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 03:56:25
prix de la crypto : 30629.22, prix de la prédiction : 30575.855338541667
prix crypto up : 16.823, prix de la prédiction : 16.82318878173828
prix crypto down : 0.020369, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 03:41:26
prix de la crypto : 30651.04, prix de la prédiction : 30567.25
prix crypto up : 16.875, prix de la prédiction : 16.861963272094727
prix crypto down : 0.020381, prix de la prédiction : 0.02731896626452605programme toujours en cour d'exécution le : vendredi 03 juin 2022 03:26:26
prix de la crypto : 30489.12, prix de la prédiction : 30434.886588541667
prix crypto up : 16.636, prix de la prédiction : 16.68735148111979
prix crypto down : 0.020632, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 03:11:27
prix de la crypto : 30486.19, prix de la prédiction : 30420.640234375
prix crypto up : 16.616, prix de la prédiction : 16.631309509277344
prix crypto down : 0.020624, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 02:56:28
prix de la crypto : 30412.7, prix de la prédiction : 30342.569140625
prix crypto up : 16.523, prix de la prédiction : 16.52605438232422
prix crypto down : 0.020715, prix de la prédiction : 0.0538505698243777programme toujours en cour d'exécution le : vendredi 03 juin 2022 02:41:28
prix de la crypto : 30417.08, prix de la prédiction : 30349.740885416668
prix crypto up : 16.543, prix de la prédiction : 16.551143646240234
prix crypto down : 0.02072, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 02:26:29
prix de la crypto : 30477.01, prix de la prédiction : 30413.874479166665
prix crypto up : 16.605, prix de la prédiction : 16.5634459177653
prix crypto down : 0.02062, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 02:11:29
prix de la crypto : 30403.98, prix de la prédiction : 30313.898567708333
prix crypto up : 16.518, prix de la prédiction : 16.49704933166504
prix crypto down : 0.020737, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 01:56:30
prix de la crypto : 30453.59, prix de la prédiction : 30396.927604166667
prix crypto up : 16.562, prix de la prédiction : 16.621736526489258
prix crypto down : 0.020687, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 01:41:31
prix de la crypto : 30544.02, prix de la prédiction : 30480.864322916666
prix crypto up : 16.714, prix de la prédiction : 16.813365936279297
prix crypto down : 0.0205, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 01:26:31
prix de la crypto : 30612.8, prix de la prédiction : 30550.538151041666
prix crypto up : 16.83, prix de la prédiction : 16.93115234375
prix crypto down : 0.020353, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 01:11:32
prix de la crypto : 30559.64, prix de la prédiction : 30507.254296875
prix crypto up : 16.75, prix de la prédiction : 16.7941837310791
prix crypto down : 0.02048, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 00:56:33
prix de la crypto : 30500.19, prix de la prédiction : 30428.318359375
prix crypto up : 16.66, prix de la prédiction : 16.69072151184082
prix crypto down : 0.020566, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 00:41:34
prix de la crypto : 30572.67, prix de la prédiction : 30525.599609375
prix crypto up : 16.75, prix de la prédiction : 16.85286521911621
prix crypto down : 0.02046, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 00:26:35
prix de la crypto : 30479.54, prix de la prédiction : 30429.395963541665
prix crypto up : 16.628, prix de la prédiction : 16.774879455566406
prix crypto down : 0.020606, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : vendredi 03 juin 2022 00:11:35
prix de la crypto : 30620.5, prix de la prédiction : 30531.341927083333
prix crypto up : 16.8, prix de la prédiction : 16.845924377441406
prix crypto down : 0.02045, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 23:56:36
prix de la crypto : 30328.6, prix de la prédiction : 30261.23203125
prix crypto up : 16.389, prix de la prédiction : 16.461149215698242
prix crypto down : 0.020932, prix de la prédiction : 0.03334708934028943programme toujours en cour d'exécution le : jeudi 02 juin 2022 23:41:37
prix de la crypto : 30307.62, prix de la prédiction : 30206.685677083333
prix crypto up : 16.365, prix de la prédiction : 16.416538111368816
prix crypto down : 0.02096, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 23:26:38
prix de la crypto : 30285.39, prix de la prédiction : 30226.366015625
prix crypto up : 16.289, prix de la prédiction : 16.367048517862955
prix crypto down : 0.020999, prix de la prédiction : 0.03238070433338483programme toujours en cour d'exécution le : jeudi 02 juin 2022 23:11:39
prix de la crypto : 30288.18, prix de la prédiction : 30200.99765625
prix crypto up : 16.282, prix de la prédiction : 16.254129282633464
prix crypto down : 0.021014, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 22:56:40
prix de la crypto : 30252.86, prix de la prédiction : 30165.480598958333
prix crypto up : 16.227, prix de la prédiction : 16.22832857767741
prix crypto down : 0.021069, prix de la prédiction : 0.03622897764046987programme toujours en cour d'exécution le : jeudi 02 juin 2022 22:41:41
prix de la crypto : 30281.03, prix de la prédiction : 30180.620963541667
prix crypto up : 16.293, prix de la prédiction : 16.30674540201823
prix crypto down : 0.021034, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 22:26:41
prix de la crypto : 30319.67, prix de la prédiction : 30229.105338541667
prix crypto up : 16.38, prix de la prédiction : 16.389978663126627
prix crypto down : 0.020968, prix de la prédiction : 0.02763341466585795programme toujours en cour d'exécution le : jeudi 02 juin 2022 22:11:42
prix de la crypto : 30352.09, prix de la prédiction : 30250.428515625
prix crypto up : 16.443, prix de la prédiction : 16.480710856119792
prix crypto down : 0.02089, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 21:56:43
prix de la crypto : 30285.62, prix de la prédiction : 30194.011328125
prix crypto up : 16.314, prix de la prédiction : 16.26331926981608
prix crypto down : 0.02095, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 21:41:44
prix de la crypto : 30193.69, prix de la prédiction : 30092.804296875
prix crypto up : 16.158, prix de la prédiction : 16.11007308959961
prix crypto down : 0.021138, prix de la prédiction : 0.035087217142184574programme toujours en cour d'exécution le : jeudi 02 juin 2022 21:26:45
prix de la crypto : 30165.83, prix de la prédiction : 30065.34453125
prix crypto up : 16.119, prix de la prédiction : 16.156063079833984
prix crypto down : 0.02115, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 21:11:46
prix de la crypto : 30120.47, prix de la prédiction : 30013.484635416666
prix crypto up : 16.05, prix de la prédiction : 16.088525772094727
prix crypto down : 0.021274, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 20:56:47
prix de la crypto : 30175.5, prix de la prédiction : 30063.99375
prix crypto up : 16.12, prix de la prédiction : 16.118221537272134
prix crypto down : 0.02117, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 20:41:48
prix de la crypto : 30227.56, prix de la prédiction : 30125.276171875
prix crypto up : 16.238, prix de la prédiction : 16.20620346069336
prix crypto down : 0.0211, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 20:26:48
prix de la crypto : 30269.4, prix de la prédiction : 30195.636328125
prix crypto up : 16.27, prix de la prédiction : 16.360406748453777
prix crypto down : 0.021059, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 20:11:49
prix de la crypto : 30237.65, prix de la prédiction : 30185.224479166667
prix crypto up : 16.228, prix de la prédiction : 16.226665369669597
prix crypto down : 0.021061, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 19:56:50
prix de la crypto : 30192.69, prix de la prédiction : 30114.323046875
prix crypto up : 16.168, prix de la prédiction : 16.214080810546875
prix crypto down : 0.021177, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 19:41:51
prix de la crypto : 30207.85, prix de la prédiction : 30118.5125
prix crypto up : 16.194, prix de la prédiction : 16.224369049072266
prix crypto down : 0.021111, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 19:26:51
prix de la crypto : 30267.47, prix de la prédiction : 30223.404166666667
prix crypto up : 16.252, prix de la prédiction : 16.356721878051758
prix crypto down : 0.02105, prix de la prédiction : 0.031343559424082436programme toujours en cour d'exécution le : jeudi 02 juin 2022 19:11:52
prix de la crypto : 30279.8, prix de la prédiction : 30199.530859375
prix crypto up : 16.305, prix de la prédiction : 16.3613224029541
prix crypto down : 0.020985, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 18:56:53
prix de la crypto : 30249.29, prix de la prédiction : 30199.466796875
prix crypto up : 16.246, prix de la prédiction : 16.28628158569336
prix crypto down : 0.021064, prix de la prédiction : 0.028667509183287622programme toujours en cour d'exécution le : jeudi 02 juin 2022 18:41:54
prix de la crypto : 30328.86, prix de la prédiction : 30262.634375
prix crypto up : 16.356, prix de la prédiction : 16.415813446044922
prix crypto down : 0.020935, prix de la prédiction : 0.036455004910628programme toujours en cour d'exécution le : jeudi 02 juin 2022 18:26:55
prix de la crypto : 30215.62, prix de la prédiction : 30172.934375
prix crypto up : 16.137, prix de la prédiction : 16.23196398417155
prix crypto down : 0.021148, prix de la prédiction : 0.03923676858345668programme toujours en cour d'exécution le : jeudi 02 juin 2022 18:11:56
prix de la crypto : 30248.68, prix de la prédiction : 30149.320442708333
prix crypto up : 16.238, prix de la prédiction : 16.21570587158203
prix crypto down : 0.02108, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 17:56:56
prix de la crypto : 30248.58, prix de la prédiction : 30204.385026041666
prix crypto up : 16.244, prix de la prédiction : 16.325599670410156
prix crypto down : 0.021072, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 17:41:57
prix de la crypto : 30372.52, prix de la prédiction : 30359.1453125
prix crypto up : 16.42, prix de la prédiction : 16.5218563079834
prix crypto down : 0.020841, prix de la prédiction : 0.03000941462814808programme toujours en cour d'exécution le : jeudi 02 juin 2022 17:26:58
prix de la crypto : 30315.11, prix de la prédiction : 30233.265494791667
prix crypto up : 16.32, prix de la prédiction : 16.24106788635254
prix crypto down : 0.02095, prix de la prédiction : 0.032251763592163724programme toujours en cour d'exécution le : jeudi 02 juin 2022 17:11:59
prix de la crypto : 30205.14, prix de la prédiction : 30132.552864583333
prix crypto up : 16.151, prix de la prédiction : 16.129110209147136
prix crypto down : 0.021103, prix de la prédiction : 0.0396676113208135programme toujours en cour d'exécution le : jeudi 02 juin 2022 16:57:00
prix de la crypto : 30008.48, prix de la prédiction : 29957.260546875
prix crypto up : 15.88, prix de la prédiction : 15.909967549641927
prix crypto down : 0.021332, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 16:42:01
prix de la crypto : 29902.7, prix de la prédiction : 29854.263671875
prix crypto up : 15.72, prix de la prédiction : 15.719129498799642
prix crypto down : 0.021551, prix de la prédiction : 0.03154246757427851programme toujours en cour d'exécution le : jeudi 02 juin 2022 16:27:02
prix de la crypto : 29832.63, prix de la prédiction : 29787.753645833334
prix crypto up : 15.628, prix de la prédiction : 15.715361531575521
prix crypto down : 0.021603, prix de la prédiction : 0.04225479513406753programme toujours en cour d'exécution le : jeudi 02 juin 2022 16:12:03
prix de la crypto : 30070.29, prix de la prédiction : 29986.039973958334
prix crypto up : 15.946, prix de la prédiction : 15.882948811848959
prix crypto down : 0.021283, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 15:57:04
prix de la crypto : 29806.39, prix de la prédiction : 29779.669661458334
prix crypto up : 15.572, prix de la prédiction : 15.580316480000814
prix crypto down : 0.02177, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 15:42:05
prix de la crypto : 29994.73, prix de la prédiction : 29888.262369791668
prix crypto up : 15.82, prix de la prédiction : 15.76360715230306
prix crypto down : 0.021501, prix de la prédiction : 0.030587402731180192programme toujours en cour d'exécution le : jeudi 02 juin 2022 15:27:05
prix de la crypto : 29721.35, prix de la prédiction : 29637.088411458335
prix crypto up : 15.403, prix de la prédiction : 15.379982884724935
prix crypto down : 0.021911, prix de la prédiction : 0.03136193056901296programme toujours en cour d'exécution le : jeudi 02 juin 2022 15:12:06
prix de la crypto : 29908.16, prix de la prédiction : 29836.186197916668
prix crypto up : 15.699, prix de la prédiction : 15.698817189534505
prix crypto down : 0.02165, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : jeudi 02 juin 2022 14:57:06
prix de la crypto : 30110.52, prix de la prédiction : 30035.483984375
prix crypto up : 16.027, prix de la prédiction : 16.096164576212566
prix crypto down : 0.021302, prix de la prédiction : 0.03228338385621707
